object_size_px,velocity_px_s,background,threshold_name,theta,event_rate_analytical,fired_pixels_mean,fired_pixels_min,fired_pixels_max,event_rate_pixelwise,event_rate_eff,e_per_event_nJ,power_static_mW,power_dyn_valid_mW,power_dyn_fp_mW,power_dyn_fn_mW,power_total_mW,dvs_can_track,n_total_pixels,n_active_pixels,n_silent_pixels,active_fraction
50,1000,low_texture,low_threshold,0.1,388960.0,109.4,102,118,109400.0,109400.0,0.1678,53.99,0.017,0.002,0.001,54.009,1,307200,1736,305464,0.00565
50,1000,low_texture,med_threshold,0.2,388960.0,102.0,101,102,102000.0,102000.0,0.1678,53.99,0.016,0.002,0.001,54.008,1,307200,1736,305464,0.00565
50,1000,low_texture,high_threshold,0.4,388960.0,102.0,101,102,102000.0,102000.0,0.1678,53.99,0.016,0.002,0.001,54.008,1,307200,1736,305464,0.00565
50,2000,low_texture,low_threshold,0.1,777920.0,109.4,102,118,218800.0,218800.0,0.1678,53.99,0.035,0.004,0.002,54.029,1,307200,3272,303928,0.01065
50,2000,low_texture,med_threshold,0.2,777920.0,102.0,101,102,204000.0,204000.0,0.1678,53.99,0.033,0.003,0.002,54.026,1,307200,3272,303928,0.01065
50,2000,low_texture,high_threshold,0.4,777920.0,102.0,101,102,204000.0,204000.0,0.1678,53.99,0.033,0.003,0.002,54.026,1,307200,3272,303928,0.01065
100,10,low_texture,low_threshold,0.1,6089.6,209.2,203,218,2092.0,2092.0,0.1678,53.99,0.0,0.0,0.0,53.99,1,307200,415,306785,0.00135
100,10,low_texture,med_threshold,0.2,6089.6,202.0,201,202,2020.0,2020.0,0.1678,53.99,0.0,0.0,0.0,53.99,1,307200,415,306785,0.00135
100,10,low_texture,high_threshold,0.4,6089.6,202.0,201,202,2020.0,2020.0,0.1678,53.99,0.0,0.0,0.0,53.99,1,307200,415,306785,0.00135
100,50,low_texture,low_threshold,0.1,30448.0,209.2,203,218,10460.0,10460.0,0.1678,53.99,0.002,0.0,0.0,53.992,1,307200,476,306724,0.00155
100,50,low_texture,med_threshold,0.2,30448.0,202.0,201,202,10100.0,10100.0,0.1678,53.99,0.002,0.0,0.0,53.992,1,307200,476,306724,0.00155
100,50,low_texture,high_threshold,0.4,30448.0,202.0,201,202,10100.0,10100.0,0.1678,53.99,0.002,0.0,0.0,53.992,1,307200,476,306724,0.00155
100,100,low_texture,low_threshold,0.1,60896.0,209.2,203,218,20920.0,20920.0,0.1678,53.99,0.003,0.0,0.0,53.994,1,307200,553,306647,0.0018
100,100,low_texture,med_threshold,0.2,60896.0,202.0,201,202,20200.0,20200.0,0.1678,53.99,0.003,0.0,0.0,53.994,1,307200,553,306647,0.0018
100,100,low_texture,high_threshold,0.4,60896.0,202.0,201,202,20200.0,20200.0,0.1678,53.99,0.003,0.0,0.0,53.994,1,307200,553,306647,0.0018
100,200,low_texture,low_threshold,0.1,121792.0,209.2,203,218,41840.0,41840.0,0.1678,53.99,0.007,0.001,0.0,53.997,1,307200,707,306493,0.0023
100,200,low_texture,med_threshold,0.2,121792.0,202.0,201,202,40400.0,40400.0,0.1678,53.99,0.006,0.001,0.0,53.997,1,307200,707,306493,0.0023
100,200,low_texture,high_threshold,0.4,121792.0,202.0,201,202,40400.0,40400.0,0.1678,53.99,0.006,0.001,0.0,53.997,1,307200,707,306493,0.0023
100,500,low_texture,low_threshold,0.1,304480.0,209.2,203,218,104600.0,104600.0,0.1678,53.99,0.017,0.002,0.001,54.008,1,307200,1168,306032,0.0038
100,500,low_texture,med_threshold,0.2,304480.0,202.0,201,202,101000.0,101000.0,0.1678,53.99,0.016,0.002,0.001,54.008,1,307200,1168,306032,0.0038
100,500,low_texture,high_threshold,0.4,304480.0,202.0,201,202,101000.0,101000.0,0.1678,53.99,0.016,0.002,0.001,54.008,1,307200,1168,306032,0.0038
100,1000,low_texture,low_threshold,0.1,608960.0,209.2,203,218,209200.0,209200.0,0.1678,53.99,0.033,0.004,0.002,54.027,1,307200,1936,305264,0.0063
100,1000,low_texture,med_threshold,0.2,608960.0,202.0,201,202,202000.0,202000.0,0.1678,53.99,0.032,0.003,0.002,54.026,1,307200,1936,305264,0.0063
100,1000,low_texture,high_threshold,0.4,608960.0,202.0,201,202,202000.0,202000.0,0.1678,53.99,0.032,0.003,0.002,54.026,1,307200,1936,305264,0.0063
100,2000,low_texture,low_threshold,0.1,1217920.0,209.2,203,218,418400.0,418400.0,0.1678,53.99,0.067,0.007,0.004,54.064,1,307200,3472,303728,0.0113
100,2000,low_texture,med_threshold,0.2,1217920.0,202.0,201,202,404000.0,404000.0,0.1678,53.99,0.064,0.007,0.003,54.061,1,307200,3472,303728,0.0113
100,2000,low_texture,high_threshold,0.4,1217920.0,202.0,201,202,404000.0,404000.0,0.1678,53.99,0.064,0.007,0.003,54.061,1,307200,3472,303728,0.0113
25,10,high_texture,low_threshold,0.1,14616.8,63976.9,63087,64653,639769.0,639769.0,0.1678,53.99,0.102,0.011,0.005,54.103,1,307200,222,306978,0.00072
25,10,high_texture,med_threshold,0.2,14616.8,4679.2,4488,6643,46792.0,46792.0,0.1678,53.99,0.007,0.001,0.0,53.998,1,307200,222,306978,0.00072
25,10,high_texture,high_threshold,0.4,14616.8,55.1,50,193,551.0,551.0,0.1678,53.99,0.0,0.0,0.0,53.99,1,307200,222,306978,0.00072
25,50,high_texture,low_threshold,0.1,73084.0,63976.9,63087,64653,3198845.0,3198845.0,0.1678,53.99,0.51,0.054,0.027,54.554,1,307200,714,306486,0.00232
25,50,high_texture,med_threshold,0.2,73084.0,4679.2,4488,6643,233960.0,233960.0,0.1678,53.99,0.037,0.004,0.002,54.031,1,307200,714,306486,0.00232
25,50,high_texture,high_threshold,0.4,73084.0,55.1,50,193,2755.0,2755.0,0.1678,53.99,0.0,0.0,0.0,53.991,1,307200,714,306486,0.00232
25,100,high_texture,low_threshold,0.1,146168.0,63976.9,63087,64653,6397690.0,6397690.0,0.1678,53.99,1.02,0.107,0.054,55.117,1,307200,1328,305872,0.00432
25,100,high_texture,med_threshold,0.2,146168.0,4679.2,4488,6643,467920.0,467920.0,0.1678,53.99,0.075,0.008,0.004,54.072,1,307200,1328,305872,0.00432
25,100,high_texture,high_threshold,0.4,146168.0,55.1,50,193,5510.0,5510.0,0.1678,53.99,0.001,0.0,0.0,53.991,1,307200,1328,305872,0.00432
25,200,high_texture,low_threshold,0.1,292336.0,63976.9,63087,64653,12795380.0,12795380.0,0.1678,53.99,2.04,0.215,0.107,56.245,1,307200,2557,304643,0.00832
25,200,high_texture,med_threshold,0.2,292336.0,4679.2,4488,6643,935840.0,935840.0,0.1678,53.99,0.149,0.016,0.008,54.155,1,307200,2557,304643,0.00832
25,200,high_texture,high_threshold,0.4,292336.0,55.1,50,193,11020.0,11020.0,0.1678,53.99,0.002,0.0,0.0,53.992,1,307200,2557,304643,0.00832
25,500,high_texture,low_threshold,0.1,730840.0,63976.9,63087,64653,31988450.0,31988450.0,0.1678,53.99,5.1,0.537,0.268,59.627,1,307200,6244,300956,0.02033
25,500,high_texture,med_threshold,0.2,730840.0,4679.2,4488,6643,2339600.0,2339600.0,0.1678,53.99,0.373,0.039,0.02,54.402,1,307200,6244,300956,0.02033
25,500,high_texture,high_threshold,0.4,730840.0,55.1,50,193,27550.0,27550.0,0.1678,53.99,0.004,0.0,0.0,53.995,1,307200,6244,300956,0.02033
25,1000,high_texture,low_threshold,0.1,1461680.0,63976.9,63087,64653,63976900.0,63976900.0,0.1678,53.99,10.201,1.074,0.537,65.264,1,307200,12388,294812,0.04033
25,1000,high_texture,med_threshold,0.2,1461680.0,4679.2,4488,6643,4679200.0,4679200.0,0.1678,53.99,0.746,0.079,0.039,54.815,1,307200,12388,294812,0.04033
25,1000,high_texture,high_threshold,0.4,1461680.0,55.1,50,193,55100.0,55100.0,0.1678,53.99,0.009,0.001,0.0,54.0,1,307200,12388,294812,0.04033
25,2000,high_texture,low_threshold,0.1,2923360.0,63976.9,63087,64653,127953800.0,127953800.0,0.1678,53.99,20.401,2.147,1.074,76.539,1,307200,24676,282524,0.08033
