object_size_px,velocity_px_s,background,threshold_name,theta,event_rate_eff,event_rate_scaled,dvs_position_error_px,dvs_inter_event_time_s,dvs_missed_fraction,dvs_detection_completeness,dvs_tracking_quality,cis_actual_fps,cis_frame_time_s,cis_position_error_px,cis_motion_blur_px,cis_missed_fraction,cis_detection_completeness,cis_tracking_quality
50,200,high_texture,high_threshold,0.4,157168.0,157168.0,0.001273,6.363e-06,0.0,0.909091,0.907936,40.0,0.025,7.5,2.5,0.0,0.952381,0.112045
50,500,high_texture,low_threshold,0.1,1571680.0,1571680.0,0.000318,6.36e-07,0.0,0.909091,0.908802,89.49,0.011174,8.3808,2.7936,0.1051,0.847546,0.090349
50,500,high_texture,med_threshold,0.2,785840.0,785840.0,0.000636,1.273e-06,0.0,0.909091,0.908513,89.49,0.011174,8.3808,2.7936,0.1051,0.847546,0.090349
50,500,high_texture,high_threshold,0.4,392920.0,392920.0,0.001273,2.545e-06,0.0,0.909091,0.907936,89.49,0.011174,8.3808,2.7936,0.1051,0.847546,0.090349
50,1000,high_texture,low_threshold,0.1,3143360.0,3143360.0,0.000318,3.18e-07,0.0,0.909091,0.908802,89.49,0.011174,16.7616,5.5872,0.55255,0.402476,0.02266
50,1000,high_texture,med_threshold,0.2,1571680.0,1571680.0,0.000636,6.36e-07,0.0,0.909091,0.908513,89.49,0.011174,16.7616,5.5872,0.55255,0.402476,0.02266
50,1000,high_texture,high_threshold,0.4,785840.0,785840.0,0.001273,1.273e-06,0.0,0.909091,0.907936,89.49,0.011174,16.7616,5.5872,0.55255,0.402476,0.02266
50,2000,high_texture,low_threshold,0.1,6286720.0,6286720.0,0.000318,1.59e-07,0.0,0.909091,0.908802,89.49,0.011174,33.5233,11.1744,0.776275,0.182858,0.005297
50,2000,high_texture,med_threshold,0.2,3143360.0,3143360.0,0.000636,3.18e-07,0.0,0.909091,0.908513,89.49,0.011174,33.5233,11.1744,0.776275,0.182858,0.005297
50,2000,high_texture,high_threshold,0.4,1571680.0,1571680.0,0.001273,6.36e-07,0.0,0.909091,0.907936,89.49,0.011174,33.5233,11.1744,0.776275,0.182858,0.005297
100,10,high_texture,low_threshold,0.1,35833.6,35833.6,0.000279,2.7907e-05,0.0,0.909091,0.908837,1.0,1.0,15.0,5.0,0.0,0.952381,0.059524
100,10,high_texture,med_threshold,0.2,17916.8,17916.8,0.000558,5.5814e-05,0.0,0.909091,0.908584,1.0,1.0,15.0,5.0,0.0,0.952381,0.059524
100,10,high_texture,high_threshold,0.4,8958.4,8958.4,0.001116,0.000111627,0.0,0.909091,0.908077,1.0,1.0,15.0,5.0,0.0,0.952381,0.059524
100,50,high_texture,low_threshold,0.1,179168.0,179168.0,0.000279,5.581e-06,0.0,0.909091,0.908837,5.0,0.2,15.0,5.0,0.0,0.952381,0.059524
100,50,high_texture,med_threshold,0.2,89584.0,89584.0,0.000558,1.1163e-05,0.0,0.909091,0.908584,5.0,0.2,15.0,5.0,0.0,0.952381,0.059524
100,50,high_texture,high_threshold,0.4,44792.0,44792.0,0.001116,2.2325e-05,0.0,0.909091,0.908077,5.0,0.2,15.0,5.0,0.0,0.952381,0.059524
100,100,high_texture,low_threshold,0.1,358336.0,358336.0,0.000279,2.791e-06,0.0,0.909091,0.908837,10.0,0.1,15.0,5.0,0.0,0.952381,0.059524
100,100,high_texture,med_threshold,0.2,179168.0,179168.0,0.000558,5.581e-06,0.0,0.909091,0.908584,10.0,0.1,15.0,5.0,0.0,0.952381,0.059524
100,100,high_texture,high_threshold,0.4,89584.0,89584.0,0.001116,1.1163e-05,0.0,0.909091,0.908077,10.0,0.1,15.0,5.0,0.0,0.952381,0.059524
100,200,high_texture,low_threshold,0.1,716672.0,716672.0,0.000279,1.395e-06,0.0,0.909091,0.908837,20.0,0.05,15.0,5.0,0.0,0.952381,0.059524
100,200,high_texture,med_threshold,0.2,358336.0,358336.0,0.000558,2.791e-06,0.0,0.909091,0.908584,20.0,0.05,15.0,5.0,0.0,0.952381,0.059524
100,200,high_texture,high_threshold,0.4,179168.0,179168.0,0.001116,5.581e-06,0.0,0.909091,0.908077,20.0,0.05,15.0,5.0,0.0,0.952381,0.059524
100,500,high_texture,low_threshold,0.1,1791680.0,1791680.0,0.000279,5.58e-07,0.0,0.909091,0.908837,50.0,0.02,15.0,5.0,0.0,0.952381,0.059524
100,500,high_texture,med_threshold,0.2,895840.0,895840.0,0.000558,1.116e-06,0.0,0.909091,0.908584,50.0,0.02,15.0,5.0,0.0,0.952381,0.059524
100,500,high_texture,high_threshold,0.4,447920.0,447920.0,0.001116,2.233e-06,0.0,0.909091,0.908077,50.0,0.02,15.0,5.0,0.0,0.952381,0.059524
100,1000,high_texture,low_threshold,0.1,3583360.0,3583360.0,0.000279,2.79e-07,0.0,0.909091,0.908837,89.49,0.011174,16.7616,5.5872,0.1051,0.847546,0.047718
100,1000,high_texture,med_threshold,0.2,1791680.0,1791680.0,0.000558,5.58e-07,0.0,0.909091,0.908584,89.49,0.011174,16.7616,5.5872,0.1051,0.847546,0.047718
100,1000,high_texture,high_threshold,0.4,895840.0,895840.0,0.001116,1.116e-06,0.0,0.909091,0.908077,89.49,0.011174,16.7616,5.5872,0.1051,0.847546,0.047718
100,2000,high_texture,low_threshold,0.1,7166720.0,7166720.0,0.000279,1.4e-07,0.0,0.909091,0.908837,89.49,0.011174,33.5233,11.1744,0.55255,0.402476,0.011658
100,2000,high_texture,med_threshold,0.2,3583360.0,3583360.0,0.000558,2.79e-07,0.0,0.909091,0.908584,89.49,0.011174,33.5233,11.1744,0.55255,0.402476,0.011658
100,2000,high_texture,high_threshold,0.4,1791680.0,1791680.0,0.001116,5.58e-07,0.0,0.909091,0.908077,89.49,0.011174,33.5233,11.1744,0.55255,0.402476,0.011658
