object_size_px,velocity_px_s,background,threshold_name,theta,event_rate_raw,event_rate_scaled,event_rate_eff,power_static_mW,power_dynamic_mW,dvs_power_mW,saturated,cis_power_mW,adc_bits_used,feasible,max_frame_rate_hz,required_fps,dynamic_range_dB,fps_clipped_warning,power_ratio,power_savings_mW
50,500,low_texture,high_threshold,0.4,194480.0,97240.0,97240.0,19.14,0.481,19.621,0,157.9271913364161,8,1,178.91,100.0,51.42,0,8.048885955680959,138.30619133641608
100,10,low_texture,low_threshold,0.1,6089.6,12179.2,12179.2,19.14,0.06,19.2,0,133.34472832682667,8,1,178.91,1.0,51.42,0,6.945037933688889,114.14472832682667
100,10,low_texture,med_threshold,0.2,6089.6,6089.6,6089.6,19.14,0.03,19.17,0,133.34472832682667,8,1,178.91,1.0,51.42,0,6.955906537653973,114.17472832682667
100,10,low_texture,high_threshold,0.4,6089.6,3044.8,3044.8,19.14,0.015,19.155,0,133.34472832682667,8,1,178.91,1.0,51.42,0,6.961353606203428,114.18972832682667
100,50,low_texture,low_threshold,0.1,30448.0,60896.0,60896.0,19.14,0.301,19.441,0,134.10983582811727,8,1,178.91,5.0,51.42,0,6.8982992555998806,114.66883582811727
100,50,low_texture,med_threshold,0.2,30448.0,30448.0,30448.0,19.14,0.151,19.291,0,134.10983582811727,8,1,178.91,5.0,51.42,0,6.951937993267185,114.81883582811727
100,50,low_texture,high_threshold,0.4,30448.0,15224.0,15224.0,19.14,0.075,19.215,0,134.10983582811727,8,1,178.91,5.0,51.42,0,6.979434599433634,114.89483582811727
100,100,low_texture,low_threshold,0.1,60896.0,121792.0,121792.0,19.14,0.603,19.743,0,135.36338085486986,8,1,178.91,10.0,51.42,0,6.856272139739142,115.62038085486986
100,100,low_texture,med_threshold,0.2,60896.0,60896.0,60896.0,19.14,0.301,19.441,0,135.36338085486986,8,1,178.91,10.0,51.42,0,6.962778707621514,115.92238085486986
100,100,low_texture,high_threshold,0.4,60896.0,30448.0,30448.0,19.14,0.151,19.291,0,135.36338085486986,8,1,178.91,10.0,51.42,0,7.016918814725512,116.07238085486986
