frame_idx,theta,threshold_name,mode,fired_pixels,event_rate,event_rate_eff,e_per_event_nJ,power_static_mW,power_dyn_valid_mW,power_dyn_fp_mW,power_dyn_fn_mW,power_total_mW
130,0.1,low_threshold,clean,31476,944280,944280,0.1678,345.458,0.151,0.016,0.008,345.624
130,0.1,low_threshold,noisy,105815,3174450,3174450,0.1678,345.458,0.506,0.053,0.027,346.017
131,0.1,low_threshold,clean,31945,958350,958350,0.1678,345.458,0.153,0.016,0.008,345.627
131,0.1,low_threshold,noisy,106342,3190260,3190260,0.1678,345.458,0.509,0.054,0.027,346.02
132,0.1,low_threshold,clean,34509,1035270,1035270,0.1678,345.458,0.165,0.017,0.009,345.64
132,0.1,low_threshold,noisy,109338,3280140,3280140,0.1678,345.458,0.523,0.055,0.028,346.036
133,0.1,low_threshold,clean,33518,1005540,1005540,0.1678,345.458,0.16,0.017,0.008,345.635
133,0.1,low_threshold,noisy,108794,3263820,3263820,0.1678,345.458,0.52,0.055,0.027,346.033
134,0.1,low_threshold,clean,30810,924300,924300,0.1678,345.458,0.147,0.016,0.008,345.621
134,0.1,low_threshold,noisy,105638,3169140,3169140,0.1678,345.458,0.505,0.053,0.027,346.016
135,0.1,low_threshold,clean,34884,1046520,1046520,0.1678,345.458,0.167,0.018,0.009,345.642
135,0.1,low_threshold,noisy,108726,3261780,3261780,0.1678,345.458,0.52,0.055,0.027,346.032
136,0.1,low_threshold,clean,36959,1108770,1108770,0.1678,345.458,0.177,0.019,0.009,345.653
136,0.1,low_threshold,noisy,111140,3334200,3334200,0.1678,345.458,0.532,0.056,0.028,346.045
137,0.1,low_threshold,clean,29474,884220,884220,0.1678,345.458,0.141,0.015,0.007,345.614
137,0.1,low_threshold,noisy,104016,3120480,3120480,0.1678,345.458,0.498,0.052,0.026,346.008
138,0.1,low_threshold,clean,30334,910020,910020,0.1678,345.458,0.145,0.015,0.008,345.618
138,0.1,low_threshold,noisy,105005,3150150,3150150,0.1678,345.458,0.502,0.053,0.026,346.013
139,0.1,low_threshold,clean,33625,1008750,1008750,0.1678,345.458,0.161,0.017,0.008,345.635
139,0.1,low_threshold,noisy,108177,3245310,3245310,0.1678,345.458,0.517,0.054,0.027,346.03
140,0.1,low_threshold,clean,33677,1010310,1010310,0.1678,345.458,0.161,0.017,0.008,345.636
140,0.1,low_threshold,noisy,107947,3238410,3238410,0.1678,345.458,0.516,0.054,0.027,346.028
141,0.1,low_threshold,clean,32126,963780,963780,0.1678,345.458,0.154,0.016,0.008,345.628
141,0.1,low_threshold,noisy,106852,3205560,3205560,0.1678,345.458,0.511,0.054,0.027,346.023
142,0.1,low_threshold,clean,31716,951480,951480,0.1678,345.458,0.152,0.016,0.008,345.625
142,0.1,low_threshold,noisy,105708,3171240,3171240,0.1678,345.458,0.506,0.053,0.027,346.017
143,0.1,low_threshold,clean,40791,1223730,1223730,0.1678,345.458,0.195,0.021,0.01,345.673
143,0.1,low_threshold,noisy,115133,3453990,3453990,0.1678,345.458,0.551,0.058,0.029,346.066
144,0.1,low_threshold,clean,32492,974760,974760,0.1678,345.458,0.155,0.016,0.008,345.629
144,0.1,low_threshold,noisy,107005,3210150,3210150,0.1678,345.458,0.512,0.054,0.027,346.023
145,0.1,low_threshold,clean,33478,1004340,1004340,0.1678,345.458,0.16,0.017,0.008,345.635
145,0.1,low_threshold,noisy,108363,3250890,3250890,0.1678,345.458,0.518,0.055,0.027,346.031
146,0.1,low_threshold,clean,36079,1082370,1082370,0.1678,345.458,0.173,0.018,0.009,345.648
146,0.1,low_threshold,noisy,110625,3318750,3318750,0.1678,345.458,0.529,0.056,0.028,346.043
147,0.1,low_threshold,clean,32837,985110,985110,0.1678,345.458,0.157,0.017,0.008,345.631
147,0.1,low_threshold,noisy,107579,3227370,3227370,0.1678,345.458,0.515,0.054,0.027,346.026
148,0.1,low_threshold,clean,29567,887010,887010,0.1678,345.458,0.141,0.015,0.007,345.614
148,0.1,low_threshold,noisy,104465,3133950,3133950,0.1678,345.458,0.5,0.053,0.026,346.01
149,0.1,low_threshold,clean,27916,837480,837480,0.1678,345.458,0.134,0.014,0.007,345.605
149,0.1,low_threshold,noisy,103236,3097080,3097080,0.1678,345.458,0.494,0.052,0.026,346.003
150,0.1,low_threshold,clean,39394,1181820,1181820,0.1678,345.458,0.188,0.02,0.01,345.666
150,0.1,low_threshold,noisy,113520,3405600,3405600,0.1678,345.458,0.543,0.057,0.029,346.058
151,0.1,low_threshold,clean,29115,873450,873450,0.1678,345.458,0.139,0.015,0.007,345.612
151,0.1,low_threshold,noisy,103765,3112950,3112950,0.1678,345.458,0.496,0.052,0.026,346.006
152,0.1,low_threshold,clean,27796,833880,833880,0.1678,345.458,0.133,0.014,0.007,345.605
152,0.1,low_threshold,noisy,102297,3068910,3068910,0.1678,345.458,0.489,0.052,0.026,345.999
153,0.1,low_threshold,clean,30779,923370,923370,0.1678,345.458,0.147,0.015,0.008,345.62
153,0.1,low_threshold,noisy,105293,3158790,3158790,0.1678,345.458,0.504,0.053,0.027,346.014
154,0.1,low_threshold,clean,30665,919950,919950,0.1678,345.458,0.147,0.015,0.008,345.62
154,0.1,low_threshold,noisy,104813,3144390,3144390,0.1678,345.458,0.501,0.053,0.026,346.012
155,0.1,low_threshold,clean,28152,844560,844560,0.1678,345.458,0.135,0.014,0.007,345.607
155,0.1,low_threshold,noisy,102863,3085890,3085890,0.1678,345.458,0.492,0.052,0.026,346.001
156,0.1,low_threshold,clean,29877,896310,896310,0.1678,345.458,0.143,0.015,0.008,345.616
156,0.1,low_threshold,noisy,104569,3137070,3137070,0.1678,345.458,0.5,0.053,0.026,346.011
157,0.1,low_threshold,clean,34275,1028250,1028250,0.1678,345.458,0.164,0.017,0.009,345.639
157,0.1,low_threshold,noisy,109038,3271140,3271140,0.1678,345.458,0.522,0.055,0.027,346.034
158,0.1,low_threshold,clean,34906,1047180,1047180,0.1678,345.458,0.167,0.018,0.009,345.642
158,0.1,low_threshold,noisy,109089,3272670,3272670,0.1678,345.458,0.522,0.055,0.027,346.034
159,0.1,low_threshold,clean,36551,1096530,1096530,0.1678,345.458,0.175,0.018,0.009,345.651
159,0.1,low_threshold,noisy,110757,3322710,3322710,0.1678,345.458,0.53,0.056,0.028,346.043
160,0.1,low_threshold,clean,32297,968910,968910,0.1678,345.458,0.154,0.016,0.008,345.628
160,0.1,low_threshold,noisy,106350,3190500,3190500,0.1678,345.458,0.509,0.054,0.027,346.02
161,0.1,low_threshold,clean,35558,1066740,1066740,0.1678,345.458,0.17,0.018,0.009,345.646
161,0.1,low_threshold,noisy,109930,3297900,3297900,0.1678,345.458,0.526,0.055,0.028,346.039
162,0.1,low_threshold,clean,32152,964560,964560,0.1678,345.458,0.154,0.016,0.008,345.628
162,0.1,low_threshold,noisy,106440,3193200,3193200,0.1678,345.458,0.509,0.054,0.027,346.02
163,0.1,low_threshold,clean,30603,918090,918090,0.1678,345.458,0.146,0.015,0.008,345.619
163,0.1,low_threshold,noisy,105767,3173010,3173010,0.1678,345.458,0.506,0.053,0.027,346.017
164,0.1,low_threshold,clean,30755,922650,922650,0.1678,345.458,0.147,0.015,0.008,345.62
164,0.1,low_threshold,noisy,105617,3168510,3168510,0.1678,345.458,0.505,0.053,0.027,346.016
165,0.1,low_threshold,clean,36443,1093290,1093290,0.1678,345.458,0.174,0.018,0.009,345.65
165,0.1,low_threshold,noisy,110817,3324510,3324510,0.1678,345.458,0.53,0.056,0.028,346.044
166,0.1,low_threshold,clean,30616,918480,918480,0.1678,345.458,0.146,0.015,0.008,345.62
166,0.1,low_threshold,noisy,104938,3148140,3148140,0.1678,345.458,0.502,0.053,0.026,346.012
167,0.1,low_threshold,clean,28414,852420,852420,0.1678,345.458,0.136,0.014,0.007,345.608
167,0.1,low_threshold,noisy,103680,3110400,3110400,0.1678,345.458,0.496,0.052,0.026,346.006
168,0.1,low_threshold,clean,33803,1014090,1014090,0.1678,345.458,0.162,0.017,0.009,345.636
168,0.1,low_threshold,noisy,108913,3267390,3267390,0.1678,345.458,0.521,0.055,0.027,346.033
169,0.1,low_threshold,clean,27813,834390,834390,0.1678,345.458,0.133,0.014,0.007,345.605
169,0.1,low_threshold,noisy,102356,3070680,3070680,0.1678,345.458,0.49,0.052,0.026,345.999
170,0.1,low_threshold,clean,28436,853080,853080,0.1678,345.458,0.136,0.014,0.007,345.608
170,0.1,low_threshold,noisy,103446,3103380,3103380,0.1678,345.458,0.495,0.052,0.026,346.005
171,0.1,low_threshold,clean,32284,968520,968520,0.1678,345.458,0.154,0.016,0.008,345.628
171,0.1,low_threshold,noisy,107044,3211320,3211320,0.1678,345.458,0.512,0.054,0.027,346.024
172,0.1,low_threshold,clean,37832,1134960,1134960,0.1678,345.458,0.181,0.019,0.01,345.658
172,0.1,low_threshold,noisy,112445,3373350,3373350,0.1678,345.458,0.538,0.057,0.028,346.052
173,0.1,low_threshold,clean,32146,964380,964380,0.1678,345.458,0.154,0.016,0.008,345.628
173,0.1,low_threshold,noisy,106296,3188880,3188880,0.1678,345.458,0.508,0.054,0.027,346.02
174,0.1,low_threshold,clean,33695,1010850,1010850,0.1678,345.458,0.161,0.017,0.008,345.636
174,0.1,low_threshold,noisy,107963,3238890,3238890,0.1678,345.458,0.516,0.054,0.027,346.028
175,0.1,low_threshold,clean,41531,1245930,1245930,0.1678,345.458,0.199,0.021,0.01,345.677
175,0.1,low_threshold,noisy,116122,3483660,3483660,0.1678,345.458,0.555,0.058,0.029,346.072
176,0.1,low_threshold,clean,33650,1009500,1009500,0.1678,345.458,0.161,0.017,0.008,345.636
176,0.1,low_threshold,noisy,108194,3245820,3245820,0.1678,345.458,0.518,0.054,0.027,346.03
177,0.1,low_threshold,clean,34086,1022580,1022580,0.1678,345.458,0.163,0.017,0.009,345.638
177,0.1,low_threshold,noisy,108211,3246330,3246330,0.1678,345.458,0.518,0.054,0.027,346.03
178,0.1,low_threshold,clean,35531,1065930,1065930,0.1678,345.458,0.17,0.018,0.009,345.646
178,0.1,low_threshold,noisy,109987,3299610,3299610,0.1678,345.458,0.526,0.055,0.028,346.039
179,0.1,low_threshold,clean,37704,1131120,1131120,0.1678,345.458,0.18,0.019,0.009,345.657
179,0.1,low_threshold,noisy,112134,3364020,3364020,0.1678,345.458,0.536,0.056,0.028,346.051
180,0.1,low_threshold,clean,39153,1174590,1174590,0.1678,345.458,0.187,0.02,0.01,345.665
180,0.1,low_threshold,noisy,113213,3396390,3396390,0.1678,345.458,0.542,0.057,0.029,346.056
181,0.1,low_threshold,clean,35255,1057650,1057650,0.1678,345.458,0.169,0.018,0.009,345.644
181,0.1,low_threshold,noisy,109349,3280470,3280470,0.1678,345.458,0.523,0.055,0.028,346.036
182,0.1,low_threshold,clean,37537,1126110,1126110,0.1678,345.458,0.18,0.019,0.009,345.656
182,0.1,low_threshold,noisy,111613,3348390,3348390,0.1678,345.458,0.534,0.056,0.028,346.048
183,0.1,low_threshold,clean,32979,989370,989370,0.1678,345.458,0.158,0.017,0.008,345.632
183,0.1,low_threshold,noisy,107574,3227220,3227220,0.1678,345.458,0.515,0.054,0.027,346.026
184,0.1,low_threshold,clean,32773,983190,983190,0.1678,345.458,0.157,0.017,0.008,345.631
184,0.1,low_threshold,noisy,107259,3217770,3217770,0.1678,345.458,0.513,0.054,0.027,346.025
185,0.1,low_threshold,clean,32306,969180,969180,0.1678,345.458,0.155,0.016,0.008,345.628
185,0.1,low_threshold,noisy,107331,3219930,3219930,0.1678,345.458,0.513,0.054,0.027,346.025
186,0.1,low_threshold,clean,34779,1043370,1043370,0.1678,345.458,0.166,0.018,0.009,345.642
186,0.1,low_threshold,noisy,109428,3282840,3282840,0.1678,345.458,0.523,0.055,0.028,346.036
187,0.1,low_threshold,clean,31429,942870,942870,0.1678,345.458,0.15,0.016,0.008,345.624
187,0.1,low_threshold,noisy,105912,3177360,3177360,0.1678,345.458,0.507,0.053,0.027,346.018
188,0.1,low_threshold,clean,33168,995040,995040,0.1678,345.458,0.159,0.017,0.008,345.633
188,0.1,low_threshold,noisy,107181,3215430,3215430,0.1678,345.458,0.513,0.054,0.027,346.024
189,0.1,low_threshold,clean,33499,1004970,1004970,0.1678,345.458,0.16,0.017,0.008,345.635
189,0.1,low_threshold,noisy,107881,3236430,3236430,0.1678,345.458,0.516,0.054,0.027,346.028
190,0.1,low_threshold,clean,35308,1059240,1059240,0.1678,345.458,0.169,0.018,0.009,345.644
190,0.1,low_threshold,noisy,109509,3285270,3285270,0.1678,345.458,0.524,0.055,0.028,346.037
191,0.1,low_threshold,clean,33597,1007910,1007910,0.1678,345.458,0.161,0.017,0.008,345.635
191,0.1,low_threshold,noisy,108205,3246150,3246150,0.1678,345.458,0.518,0.054,0.027,346.03
192,0.1,low_threshold,clean,34628,1038840,1038840,0.1678,345.458,0.166,0.017,0.009,345.641
192,0.1,low_threshold,noisy,109398,3281940,3281940,0.1678,345.458,0.523,0.055,0.028,346.036
193,0.1,low_threshold,clean,39827,1194810,1194810,0.1678,345.458,0.191,0.02,0.01,345.668
193,0.1,low_threshold,noisy,114162,3424860,3424860,0.1678,345.458,0.546,0.057,0.029,346.061
194,0.1,low_threshold,clean,34932,1047960,1047960,0.1678,345.458,0.167,0.018,0.009,345.642
194,0.1,low_threshold,noisy,109575,3287250,3287250,0.1678,345.458,0.524,0.055,0.028,346.037
195,0.1,low_threshold,clean,39415,1182450,1182450,0.1678,345.458,0.189,0.02,0.01,345.666
195,0.1,low_threshold,noisy,113799,3413970,3413970,0.1678,345.458,0.544,0.057,0.029,346.059
196,0.1,low_threshold,clean,36231,1086930,1086930,0.1678,345.458,0.173,0.018,0.009,345.649
196,0.1,low_threshold,noisy,111123,3333690,3333690,0.1678,345.458,0.532,0.056,0.028,346.045
197,0.1,low_threshold,clean,37088,1112640,1112640,0.1678,345.458,0.177,0.019,0.009,345.654
197,0.1,low_threshold,noisy,111394,3341820,3341820,0.1678,345.458,0.533,0.056,0.028,346.047
198,0.1,low_threshold,clean,33385,1001550,1001550,0.1678,345.458,0.16,0.017,0.008,345.634
198,0.1,low_threshold,noisy,107595,3227850,3227850,0.1678,345.458,0.515,0.054,0.027,346.027
199,0.1,low_threshold,clean,32808,984240,984240,0.1678,345.458,0.157,0.017,0.008,345.631
199,0.1,low_threshold,noisy,107827,3234810,3234810,0.1678,345.458,0.516,0.054,0.027,346.028
200,0.1,low_threshold,clean,40461,1213830,1213830,0.1678,345.458,0.194,0.02,0.01,345.672
200,0.1,low_threshold,noisy,115034,3451020,3451020,0.1678,345.458,0.55,0.058,0.029,346.066
201,0.1,low_threshold,clean,35312,1059360,1059360,0.1678,345.458,0.169,0.018,0.009,345.644
201,0.1,low_threshold,noisy,109857,3295710,3295710,0.1678,345.458,0.525,0.055,0.028,346.038
202,0.1,low_threshold,clean,36224,1086720,1086720,0.1678,345.458,0.173,0.018,0.009,345.649
202,0.1,low_threshold,noisy,110742,3322260,3322260,0.1678,345.458,0.53,0.056,0.028,346.043
203,0.1,low_threshold,clean,39899,1196970,1196970,0.1678,345.458,0.191,0.02,0.01,345.669
203,0.1,low_threshold,noisy,113622,3408660,3408660,0.1678,345.458,0.543,0.057,0.029,346.058
204,0.1,low_threshold,clean,46800,1404000,1404000,0.1678,345.458,0.224,0.024,0.012,345.705
204,0.1,low_threshold,noisy,120516,3615480,3615480,0.1678,345.458,0.576,0.061,0.03,346.095
205,0.1,low_threshold,clean,41090,1232700,1232700,0.1678,345.458,0.197,0.021,0.01,345.675
205,0.1,low_threshold,noisy,115226,3456780,3456780,0.1678,345.458,0.551,0.058,0.029,346.067
206,0.1,low_threshold,clean,41503,1245090,1245090,0.1678,345.458,0.199,0.021,0.01,345.677
206,0.1,low_threshold,noisy,115918,3477540,3477540,0.1678,345.458,0.554,0.058,0.029,346.071
207,0.1,low_threshold,clean,45996,1379880,1379880,0.1678,345.458,0.22,0.023,0.012,345.701
207,0.1,low_threshold,noisy,120436,3613080,3613080,0.1678,345.458,0.576,0.061,0.03,346.094
208,0.1,low_threshold,clean,42399,1271970,1271970,0.1678,345.458,0.203,0.021,0.011,345.682
208,0.1,low_threshold,noisy,116306,3489180,3489180,0.1678,345.458,0.556,0.059,0.029,346.073
209,0.1,low_threshold,clean,42547,1276410,1276410,0.1678,345.458,0.204,0.021,0.011,345.683
209,0.1,low_threshold,noisy,116859,3505770,3505770,0.1678,345.458,0.559,0.059,0.029,346.075
210,0.1,low_threshold,clean,48083,1442490,1442490,0.1678,345.458,0.23,0.024,0.012,345.712
210,0.1,low_threshold,noisy,122192,3665760,3665760,0.1678,345.458,0.584,0.062,0.031,346.104
211,0.1,low_threshold,clean,50421,1512630,1512630,0.1678,345.458,0.241,0.025,0.013,345.724
211,0.1,low_threshold,noisy,124508,3735240,3735240,0.1678,345.458,0.596,0.063,0.031,346.116
212,0.1,low_threshold,clean,42936,1288080,1288080,0.1678,345.458,0.205,0.022,0.011,345.685
212,0.1,low_threshold,noisy,117565,3526950,3526950,0.1678,345.458,0.562,0.059,0.03,346.079
213,0.1,low_threshold,clean,42281,1268430,1268430,0.1678,345.458,0.202,0.021,0.011,345.681
213,0.1,low_threshold,noisy,116837,3505110,3505110,0.1678,345.458,0.559,0.059,0.029,346.075
214,0.1,low_threshold,clean,45803,1374090,1374090,0.1678,345.458,0.219,0.023,0.012,345.7
214,0.1,low_threshold,noisy,120239,3607170,3607170,0.1678,345.458,0.575,0.061,0.03,346.093
215,0.1,low_threshold,clean,43252,1297560,1297560,0.1678,345.458,0.207,0.022,0.011,345.686
215,0.1,low_threshold,noisy,117125,3513750,3513750,0.1678,345.458,0.56,0.059,0.029,346.077
216,0.1,low_threshold,clean,42160,1264800,1264800,0.1678,345.458,0.202,0.021,0.011,345.681
216,0.1,low_threshold,noisy,116409,3492270,3492270,0.1678,345.458,0.557,0.059,0.029,346.073
217,0.1,low_threshold,clean,41642,1249260,1249260,0.1678,345.458,0.199,0.021,0.01,345.678
217,0.1,low_threshold,noisy,115293,3458790,3458790,0.1678,345.458,0.551,0.058,0.029,346.067
218,0.1,low_threshold,clean,63937,1918110,1918110,0.1678,345.458,0.306,0.032,0.016,345.796
218,0.1,low_threshold,noisy,137438,4123140,4123140,0.1678,345.458,0.657,0.069,0.035,346.184
219,0.1,low_threshold,clean,40538,1216140,1216140,0.1678,345.458,0.194,0.02,0.01,345.672
219,0.1,low_threshold,noisy,114905,3447150,3447150,0.1678,345.458,0.55,0.058,0.029,346.065
220,0.1,low_threshold,clean,40605,1218150,1218150,0.1678,345.458,0.194,0.02,0.01,345.672
220,0.1,low_threshold,noisy,114841,3445230,3445230,0.1678,345.458,0.549,0.058,0.029,346.065
221,0.1,low_threshold,clean,52778,1583340,1583340,0.1678,345.458,0.252,0.027,0.013,345.737
221,0.1,low_threshold,noisy,126558,3796740,3796740,0.1678,345.458,0.605,0.064,0.032,346.127
222,0.1,low_threshold,clean,53441,1603230,1603230,0.1678,345.458,0.256,0.027,0.013,345.74
222,0.1,low_threshold,noisy,127106,3813180,3813180,0.1678,345.458,0.608,0.064,0.032,346.13
223,0.1,low_threshold,clean,38375,1151250,1151250,0.1678,345.458,0.184,0.019,0.01,345.661
223,0.1,low_threshold,noisy,112482,3374460,3374460,0.1678,345.458,0.538,0.057,0.028,346.052
224,0.1,low_threshold,clean,38336,1150080,1150080,0.1678,345.458,0.183,0.019,0.01,345.66
224,0.1,low_threshold,noisy,112701,3381030,3381030,0.1678,345.458,0.539,0.057,0.028,346.054
225,0.1,low_threshold,clean,64028,1920840,1920840,0.1678,345.458,0.306,0.032,0.016,345.796
225,0.1,low_threshold,noisy,137617,4128510,4128510,0.1678,345.458,0.658,0.069,0.035,346.185
226,0.1,low_threshold,clean,46680,1400400,1400400,0.1678,345.458,0.223,0.024,0.012,345.704
226,0.1,low_threshold,noisy,120919,3627570,3627570,0.1678,345.458,0.578,0.061,0.03,346.097
227,0.1,low_threshold,clean,38730,1161900,1161900,0.1678,345.458,0.185,0.02,0.01,345.662
227,0.1,low_threshold,noisy,112882,3386460,3386460,0.1678,345.458,0.54,0.057,0.028,346.054
228,0.1,low_threshold,clean,43034,1291020,1291020,0.1678,345.458,0.206,0.022,0.011,345.685
228,0.1,low_threshold,noisy,117384,3521520,3521520,0.1678,345.458,0.561,0.059,0.03,346.078
229,0.1,low_threshold,clean,58685,1760550,1760550,0.1678,345.458,0.281,0.03,0.015,345.768
229,0.1,low_threshold,noisy,132426,3972780,3972780,0.1678,345.458,0.633,0.067,0.033,346.158
230,0.1,low_threshold,clean,38182,1145460,1145460,0.1678,345.458,0.183,0.019,0.01,345.66
230,0.1,low_threshold,noisy,111997,3359910,3359910,0.1678,345.458,0.536,0.056,0.028,346.05
231,0.1,low_threshold,clean,38797,1163910,1163910,0.1678,345.458,0.186,0.02,0.01,345.663
231,0.1,low_threshold,noisy,112712,3381360,3381360,0.1678,345.458,0.539,0.057,0.028,346.054
232,0.1,low_threshold,clean,50745,1522350,1522350,0.1678,345.458,0.243,0.026,0.013,345.726
232,0.1,low_threshold,noisy,124615,3738450,3738450,0.1678,345.458,0.596,0.063,0.031,346.116
233,0.1,low_threshold,clean,51867,1556010,1556010,0.1678,345.458,0.248,0.026,0.013,345.732
233,0.1,low_threshold,noisy,125780,3773400,3773400,0.1678,345.458,0.602,0.063,0.032,346.123
234,0.1,low_threshold,clean,37264,1117920,1117920,0.1678,345.458,0.178,0.019,0.009,345.655
234,0.1,low_threshold,noisy,111554,3346620,3346620,0.1678,345.458,0.534,0.056,0.028,346.047
235,0.1,low_threshold,clean,39643,1189290,1189290,0.1678,345.458,0.19,0.02,0.01,345.667
235,0.1,low_threshold,noisy,114495,3434850,3434850,0.1678,345.458,0.548,0.058,0.029,346.063
236,0.1,low_threshold,clean,59363,1780890,1780890,0.1678,345.458,0.284,0.03,0.015,345.772
236,0.1,low_threshold,noisy,132791,3983730,3983730,0.1678,345.458,0.635,0.067,0.033,346.16
237,0.1,low_threshold,clean,38714,1161420,1161420,0.1678,345.458,0.185,0.019,0.01,345.662
237,0.1,low_threshold,noisy,113442,3403260,3403260,0.1678,345.458,0.543,0.057,0.029,346.057
238,0.1,low_threshold,clean,38872,1166160,1166160,0.1678,345.458,0.186,0.02,0.01,345.663
238,0.1,low_threshold,noisy,113734,3412020,3412020,0.1678,345.458,0.544,0.057,0.029,346.059
239,0.1,low_threshold,clean,42961,1288830,1288830,0.1678,345.458,0.205,0.022,0.011,345.685
239,0.1,low_threshold,noisy,117614,3528420,3528420,0.1678,345.458,0.563,0.059,0.03,346.079
240,0.1,low_threshold,clean,61814,1854420,1854420,0.1678,345.458,0.296,0.031,0.016,345.784
240,0.1,low_threshold,noisy,134917,4047510,4047510,0.1678,345.458,0.645,0.068,0.034,346.171
241,0.1,low_threshold,clean,41419,1242570,1242570,0.1678,345.458,0.198,0.021,0.01,345.677
241,0.1,low_threshold,noisy,115500,3465000,3465000,0.1678,345.458,0.552,0.058,0.029,346.068
242,0.1,low_threshold,clean,41221,1236630,1236630,0.1678,345.458,0.197,0.021,0.01,345.676
242,0.1,low_threshold,noisy,115481,3464430,3464430,0.1678,345.458,0.552,0.058,0.029,346.068
243,0.1,low_threshold,clean,66911,2007330,2007330,0.1678,345.458,0.32,0.034,0.017,345.811
243,0.1,low_threshold,noisy,140396,4211880,4211880,0.1678,345.458,0.672,0.071,0.035,346.2
244,0.1,low_threshold,clean,42305,1269150,1269150,0.1678,345.458,0.202,0.021,0.011,345.681
244,0.1,low_threshold,noisy,116679,3500370,3500370,0.1678,345.458,0.558,0.059,0.029,346.075
245,0.1,low_threshold,clean,41695,1250850,1250850,0.1678,345.458,0.199,0.021,0.01,345.678
245,0.1,low_threshold,noisy,115632,3468960,3468960,0.1678,345.458,0.553,0.058,0.029,346.069
246,0.1,low_threshold,clean,42501,1275030,1275030,0.1678,345.458,0.203,0.021,0.011,345.682
246,0.1,low_threshold,noisy,116416,3492480,3492480,0.1678,345.458,0.557,0.059,0.029,346.073
247,0.1,low_threshold,clean,62121,1863630,1863630,0.1678,345.458,0.297,0.031,0.016,345.786
247,0.1,low_threshold,noisy,135677,4070310,4070310,0.1678,345.458,0.649,0.068,0.034,346.175
248,0.1,low_threshold,clean,43485,1304550,1304550,0.1678,345.458,0.208,0.022,0.011,345.688
248,0.1,low_threshold,noisy,117688,3530640,3530640,0.1678,345.458,0.563,0.059,0.03,346.08
249,0.1,low_threshold,clean,42609,1278270,1278270,0.1678,345.458,0.204,0.021,0.011,345.683
249,0.1,low_threshold,noisy,116338,3490140,3490140,0.1678,345.458,0.556,0.059,0.029,346.073
250,0.1,low_threshold,clean,66092,1982760,1982760,0.1678,345.458,0.316,0.033,0.017,345.807
250,0.1,low_threshold,noisy,139480,4184400,4184400,0.1678,345.458,0.667,0.07,0.035,346.195
251,0.1,low_threshold,clean,43508,1305240,1305240,0.1678,345.458,0.208,0.022,0.011,345.688
251,0.1,low_threshold,noisy,117803,3534090,3534090,0.1678,345.458,0.563,0.059,0.03,346.08
252,0.1,low_threshold,clean,44241,1327230,1327230,0.1678,345.458,0.212,0.022,0.011,345.692
252,0.1,low_threshold,noisy,118647,3559410,3559410,0.1678,345.458,0.568,0.06,0.03,346.085
253,0.1,low_threshold,clean,45077,1352310,1352310,0.1678,345.458,0.216,0.023,0.011,345.696
253,0.1,low_threshold,noisy,119584,3587520,3587520,0.1678,345.458,0.572,0.06,0.03,346.09
254,0.1,low_threshold,clean,69258,2077740,2077740,0.1678,345.458,0.331,0.035,0.017,345.824
254,0.1,low_threshold,noisy,142203,4266090,4266090,0.1678,345.458,0.68,0.072,0.036,346.209
255,0.1,low_threshold,clean,51902,1557060,1557060,0.1678,345.458,0.248,0.026,0.013,345.732
255,0.1,low_threshold,noisy,125893,3776790,3776790,0.1678,345.458,0.602,0.063,0.032,346.123
256,0.1,low_threshold,clean,49790,1493700,1493700,0.1678,345.458,0.238,0.025,0.013,345.721
256,0.1,low_threshold,noisy,123918,3717540,3717540,0.1678,345.458,0.593,0.062,0.031,346.113
257,0.1,low_threshold,clean,65916,1977480,1977480,0.1678,345.458,0.315,0.033,0.017,345.806
257,0.1,low_threshold,noisy,139549,4186470,4186470,0.1678,345.458,0.667,0.07,0.035,346.195
258,0.1,low_threshold,clean,47663,1429890,1429890,0.1678,345.458,0.228,0.024,0.012,345.71
258,0.1,low_threshold,noisy,122097,3662910,3662910,0.1678,345.458,0.584,0.061,0.031,346.103
259,0.1,low_threshold,clean,46331,1389930,1389930,0.1678,345.458,0.222,0.023,0.012,345.703
259,0.1,low_threshold,noisy,120604,3618120,3618120,0.1678,345.458,0.577,0.061,0.03,346.095
260,0.1,low_threshold,clean,44704,1341120,1341120,0.1678,345.458,0.214,0.023,0.011,345.694
260,0.1,low_threshold,noisy,118897,3566910,3566910,0.1678,345.458,0.569,0.06,0.03,346.086
261,0.1,low_threshold,clean,58916,1767480,1767480,0.1678,345.458,0.282,0.03,0.015,345.769
261,0.1,low_threshold,noisy,132432,3972960,3972960,0.1678,345.458,0.633,0.067,0.033,346.158
262,0.1,low_threshold,clean,44448,1333440,1333440,0.1678,345.458,0.213,0.022,0.011,345.693
262,0.1,low_threshold,noisy,118234,3547020,3547020,0.1678,345.458,0.566,0.06,0.03,346.083
263,0.1,low_threshold,clean,43972,1319160,1319160,0.1678,345.458,0.21,0.022,0.011,345.69
263,0.1,low_threshold,noisy,118196,3545880,3545880,0.1678,345.458,0.565,0.06,0.03,346.083
264,0.1,low_threshold,clean,47967,1439010,1439010,0.1678,345.458,0.229,0.024,0.012,345.711
264,0.1,low_threshold,noisy,122160,3664800,3664800,0.1678,345.458,0.584,0.062,0.031,346.104
265,0.1,low_threshold,clean,51585,1547550,1547550,0.1678,345.458,0.247,0.026,0.013,345.73
