frame_idx,theta,threshold_name,mode,fired_pixels,event_rate,event_rate_eff,e_per_event_nJ,power_static_mW,power_dyn_valid_mW,power_dyn_fp_mW,power_dyn_fn_mW,power_total_mW
31,0.1,low_threshold,noisy,104589,3137670,3137670,0.1678,345.458,0.5,0.053,0.026,346.011
32,0.1,low_threshold,clean,37153,1114590,1114590,0.1678,345.458,0.178,0.019,0.009,345.654
32,0.1,low_threshold,noisy,111752,3352560,3352560,0.1678,345.458,0.535,0.056,0.028,346.048
33,0.1,low_threshold,clean,30067,902010,902010,0.1678,345.458,0.144,0.015,0.008,345.617
33,0.1,low_threshold,noisy,104513,3135390,3135390,0.1678,345.458,0.5,0.053,0.026,346.01
34,0.1,low_threshold,clean,29485,884550,884550,0.1678,345.458,0.141,0.015,0.007,345.614
34,0.1,low_threshold,noisy,104017,3120510,3120510,0.1678,345.458,0.498,0.052,0.026,346.008
35,0.1,low_threshold,clean,32621,978630,978630,0.1678,345.458,0.156,0.016,0.008,345.63
35,0.1,low_threshold,noisy,107364,3220920,3220920,0.1678,345.458,0.514,0.054,0.027,346.025
36,0.1,low_threshold,clean,35819,1074570,1074570,0.1678,345.458,0.171,0.018,0.009,345.647
36,0.1,low_threshold,noisy,110308,3309240,3309240,0.1678,345.458,0.528,0.056,0.028,346.041
37,0.1,low_threshold,clean,29576,887280,887280,0.1678,345.458,0.141,0.015,0.007,345.614
37,0.1,low_threshold,noisy,104080,3122400,3122400,0.1678,345.458,0.498,0.052,0.026,346.008
38,0.1,low_threshold,clean,28776,863280,863280,0.1678,345.458,0.138,0.014,0.007,345.61
38,0.1,low_threshold,noisy,103502,3105060,3105060,0.1678,345.458,0.495,0.052,0.026,346.005
39,0.1,low_threshold,clean,36462,1093860,1093860,0.1678,345.458,0.174,0.018,0.009,345.65
39,0.1,low_threshold,noisy,110818,3324540,3324540,0.1678,345.458,0.53,0.056,0.028,346.044
40,0.1,low_threshold,clean,28998,869940,869940,0.1678,345.458,0.139,0.015,0.007,345.611
40,0.1,low_threshold,noisy,103515,3105450,3105450,0.1678,345.458,0.495,0.052,0.026,346.005
41,0.1,low_threshold,clean,28252,847560,847560,0.1678,345.458,0.135,0.014,0.007,345.607
41,0.1,low_threshold,noisy,103291,3098730,3098730,0.1678,345.458,0.494,0.052,0.026,346.004
42,0.1,low_threshold,clean,29285,878550,878550,0.1678,345.458,0.14,0.015,0.007,345.613
42,0.1,low_threshold,noisy,104149,3124470,3124470,0.1678,345.458,0.498,0.052,0.026,346.008
43,0.1,low_threshold,clean,37011,1110330,1110330,0.1678,345.458,0.177,0.019,0.009,345.653
43,0.1,low_threshold,noisy,111815,3354450,3354450,0.1678,345.458,0.535,0.056,0.028,346.049
44,0.1,low_threshold,clean,29434,883020,883020,0.1678,345.458,0.141,0.015,0.007,345.613
44,0.1,low_threshold,noisy,103849,3115470,3115470,0.1678,345.458,0.497,0.052,0.026,346.007
45,0.1,low_threshold,clean,34139,1024170,1024170,0.1678,345.458,0.163,0.017,0.009,345.638
45,0.1,low_threshold,noisy,109058,3271740,3271740,0.1678,345.458,0.522,0.055,0.027,346.034
46,0.1,low_threshold,clean,37044,1111320,1111320,0.1678,345.458,0.177,0.019,0.009,345.654
46,0.1,low_threshold,noisy,111324,3339720,3339720,0.1678,345.458,0.532,0.056,0.028,346.046
