sensor_name,sensor_type,operating_point,theta,fps_used,coast,seed,power_mw,hota,det_a,ass_a,mota,idf1,id_switches,num_pred,num_det_input
Samsung DVS-Gen3.1,DVS,theta=0.05,0.05,,False,4,10.0,0.3494,0.4924,0.2917,0.5903,0.6114,274,28466,31480
Samsung DVS-Gen3.1,DVS,theta=0.05,0.05,,False,5,10.0,0.3472,0.4925,0.2908,0.5903,0.5962,302,28506,31542
Samsung DVS-Gen3.1,DVS,theta=0.05,0.05,,True,1,10.0,0.4231,0.7289,0.3142,0.9018,0.7657,376,45180,48300
Samsung DVS-Gen3.1,DVS,theta=0.05,0.05,,True,2,10.0,0.424,0.7246,0.3186,0.8964,0.7699,352,45213,48298
Samsung DVS-Gen3.1,DVS,theta=0.05,0.05,,True,3,10.0,0.4129,0.7268,0.2979,0.8983,0.7161,433,45190,48367
Samsung DVS-Gen3.1,DVS,theta=0.05,0.05,,True,4,10.0,0.4222,0.7254,0.3142,0.8976,0.7449,355,45213,48251
Samsung DVS-Gen3.1,DVS,theta=0.05,0.05,,True,5,10.0,0.432,0.7264,0.3248,0.9024,0.7498,356,45307,48353
Samsung DVS-Gen3.1,DVS,theta=0.10,0.1,,False,1,10.0,0.3404,0.4921,0.2803,0.5892,0.5812,331,28457,31412
Samsung DVS-Gen3.1,DVS,theta=0.10,0.1,,False,2,10.0,0.3417,0.4927,0.2821,0.5902,0.6147,311,28491,31549
Samsung DVS-Gen3.1,DVS,theta=0.10,0.1,,False,3,10.0,0.3425,0.4928,0.2858,0.5907,0.6077,310,28504,31507
Samsung DVS-Gen3.1,DVS,theta=0.10,0.1,,False,4,10.0,0.3494,0.4924,0.2917,0.5903,0.6114,274,28466,31480
Samsung DVS-Gen3.1,DVS,theta=0.10,0.1,,False,5,10.0,0.3472,0.4925,0.2908,0.5903,0.5962,302,28506,31542
Samsung DVS-Gen3.1,DVS,theta=0.10,0.1,,True,1,10.0,0.4231,0.7289,0.3142,0.9018,0.7657,376,45180,48300
Samsung DVS-Gen3.1,DVS,theta=0.10,0.1,,True,2,10.0,0.424,0.7246,0.3186,0.8964,0.7699,352,45213,48298
Samsung DVS-Gen3.1,DVS,theta=0.10,0.1,,True,3,10.0,0.4129,0.7268,0.2979,0.8983,0.7161,433,45190,48367
Samsung DVS-Gen3.1,DVS,theta=0.10,0.1,,True,4,10.0,0.4222,0.7254,0.3142,0.8976,0.7449,355,45213,48251
Samsung DVS-Gen3.1,DVS,theta=0.10,0.1,,True,5,10.0,0.432,0.7264,0.3248,0.9024,0.7498,356,45307,48353
Samsung DVS-Gen3.1,DVS,theta=0.20,0.2,,False,1,10.0,0.3404,0.4921,0.2803,0.5892,0.5812,331,28457,31412
Samsung DVS-Gen3.1,DVS,theta=0.20,0.2,,False,2,10.0,0.3417,0.4927,0.2821,0.5902,0.6147,311,28491,31549
Samsung DVS-Gen3.1,DVS,theta=0.20,0.2,,False,3,10.0,0.3425,0.4928,0.2858,0.5907,0.6077,310,28504,31507
Samsung DVS-Gen3.1,DVS,theta=0.20,0.2,,False,4,10.0,0.3494,0.4924,0.2917,0.5903,0.6114,274,28466,31480
Samsung DVS-Gen3.1,DVS,theta=0.20,0.2,,False,5,10.0,0.3472,0.4925,0.2908,0.5903,0.5962,302,28506,31542
Samsung DVS-Gen3.1,DVS,theta=0.20,0.2,,True,1,10.0,0.4231,0.7289,0.3142,0.9018,0.7657,376,45180,48300
Samsung DVS-Gen3.1,DVS,theta=0.20,0.2,,True,2,10.0,0.424,0.7246,0.3186,0.8964,0.7699,352,45213,48298
Samsung DVS-Gen3.1,DVS,theta=0.20,0.2,,True,3,10.0,0.4129,0.7268,0.2979,0.8983,0.7161,433,45190,48367
Samsung DVS-Gen3.1,DVS,theta=0.20,0.2,,True,4,10.0,0.4222,0.7254,0.3142,0.8976,0.7449,355,45213,48251
Samsung DVS-Gen3.1,DVS,theta=0.20,0.2,,True,5,10.0,0.432,0.7264,0.3248,0.9024,0.7498,356,45307,48353
Samsung DVS-Gen3.1,DVS,theta=0.40,0.4,,False,1,10.0,0.3404,0.4921,0.2803,0.5892,0.5812,331,28457,31412
Samsung DVS-Gen3.1,DVS,theta=0.40,0.4,,False,2,10.0,0.3417,0.4927,0.2821,0.5902,0.6147,311,28491,31549
Samsung DVS-Gen3.1,DVS,theta=0.40,0.4,,False,3,10.0,0.3425,0.4928,0.2858,0.5907,0.6077,310,28504,31507
Samsung DVS-Gen3.1,DVS,theta=0.40,0.4,,False,4,10.0,0.3494,0.4924,0.2917,0.5903,0.6114,274,28466,31480
Samsung DVS-Gen3.1,DVS,theta=0.40,0.4,,False,5,10.0,0.3472,0.4925,0.2908,0.5903,0.5962,302,28506,31542
Samsung DVS-Gen3.1,DVS,theta=0.40,0.4,,True,1,10.0,0.4231,0.7289,0.3142,0.9018,0.7657,376,45180,48300
Samsung DVS-Gen3.1,DVS,theta=0.40,0.4,,True,2,10.0,0.424,0.7246,0.3186,0.8964,0.7699,352,45213,48298
Samsung DVS-Gen3.1,DVS,theta=0.40,0.4,,True,3,10.0,0.4129,0.7268,0.2979,0.8983,0.7161,433,45190,48367
Samsung DVS-Gen3.1,DVS,theta=0.40,0.4,,True,4,10.0,0.4222,0.7254,0.3142,0.8976,0.7449,355,45213,48251
Samsung DVS-Gen3.1,DVS,theta=0.40,0.4,,True,5,10.0,0.432,0.7264,0.3248,0.9024,0.7498,356,45307,48353
