sensor_name,sensor_type,operating_point,theta,fps_used,coast,seed,power_mw,hota,det_a,ass_a,mota,idf1,id_switches,num_pred,num_det_input
IMX462 (Sony),CIS,fps=120,,120.0,False,2,310.0,0.9743,0.9661,0.9881,0.9978,0.9915,3,47495,50050
IMX462 (Sony),CIS,fps=120,,120.0,False,3,310.0,0.9803,0.9663,1.0,0.9979,0.9989,0,47494,50207
IMX462 (Sony),CIS,fps=120,,120.0,False,4,310.0,0.9803,0.9664,1.0,0.9981,0.999,0,47484,50170
IMX462 (Sony),CIS,fps=120,,120.0,False,5,310.0,0.9805,0.9666,1.0,0.9981,0.999,0,47487,50203
IMX462 (Sony),CIS,fps=15,,15.0,False,1,49.25,0.6875,0.4766,1.0,0.4981,0.665,0,23694,25080
IMX462 (Sony),CIS,fps=15,,15.0,False,2,49.25,0.6872,0.4764,1.0,0.498,0.6649,0,23697,25076
IMX462 (Sony),CIS,fps=15,,15.0,False,3,49.25,0.6736,0.4765,0.9608,0.4979,0.6639,4,23695,25061
IMX462 (Sony),CIS,fps=15,,15.0,False,4,49.25,0.6832,0.4765,0.9881,0.4981,0.6642,1,23695,25095
IMX462 (Sony),CIS,fps=15,,15.0,False,5,49.25,0.6872,0.4764,1.0,0.498,0.665,0,23695,25048
IMX462 (Sony),CIS,fps=30,,30.0,False,1,86.5,0.9749,0.9663,0.9893,0.9979,0.9989,2,47487,50160
IMX462 (Sony),CIS,fps=30,,30.0,False,2,86.5,0.9743,0.9661,0.9881,0.9978,0.9915,3,47495,50050
IMX462 (Sony),CIS,fps=30,,30.0,False,3,86.5,0.9803,0.9663,1.0,0.9979,0.9989,0,47494,50207
IMX462 (Sony),CIS,fps=30,,30.0,False,4,86.5,0.9803,0.9664,1.0,0.9981,0.999,0,47484,50170
IMX462 (Sony),CIS,fps=30,,30.0,False,5,86.5,0.9805,0.9666,1.0,0.9981,0.999,0,47487,50203
