sensor_name,sensor_type,velocity_px_s,obj_size_px,bg_density,bg_label,operating_point,theta,fps_used,event_rate_ev_s,power_mw,power_static_mw,power_dynamic_mw,saturated,resolution,sensor_price
DAVIS346,DVS,10,25,0.4,high_texture,theta=0.40,0.4,,7308.4,10.015,10.0,0.01504,False,346x260,"~$3,000 (dev kit)"
Samsung DVS-Gen3.1,DVS,10,25,0.4,high_texture,theta=0.05,0.05,,58467.2,10.0008,10.0,0.000767,False,640x480,~$100-300 (module)
Samsung DVS-Gen3.1,DVS,10,25,0.4,high_texture,theta=0.10,0.1,,29233.6,10.0015,10.0,0.001535,False,640x480,~$100-300 (module)
Samsung DVS-Gen3.1,DVS,10,25,0.4,high_texture,theta=0.20,0.2,,14616.8,10.0031,10.0,0.003069,False,640x480,~$100-300 (module)
Samsung DVS-Gen3.1,DVS,10,25,0.4,high_texture,theta=0.40,0.4,,7308.4,10.0061,10.0,0.006139,False,640x480,~$100-300 (module)
Prophesee IMX636,DVS,10,25,0.4,high_texture,theta=0.05,0.05,,58467.2,32.0004,32.0,0.000384,False,1280x720,"~$3,500 (EVK4 kit)"
Prophesee IMX636,DVS,10,25,0.4,high_texture,theta=0.10,0.1,,29233.6,32.0008,32.0,0.000767,False,1280x720,"~$3,500 (EVK4 kit)"
Prophesee IMX636,DVS,10,25,0.4,high_texture,theta=0.20,0.2,,14616.8,32.0015,32.0,0.001535,False,1280x720,"~$3,500 (EVK4 kit)"
Prophesee IMX636,DVS,10,25,0.4,high_texture,theta=0.40,0.4,,7308.4,32.0031,32.0,0.003069,False,1280x720,"~$3,500 (EVK4 kit)"
OV7251 (OmniVision),CIS,10,50,0.05,low_texture,locked,,800.0,,40.0,,,False,640x480,~$3-5
OV7251 (OmniVision),CIS,10,50,0.05,low_texture,adaptive,,2.0,,2.6333,,,False,640x480,~$3-5
IMX327 (Sony),CIS,10,50,0.05,low_texture,locked,,800.0,,300.0,,,False,1920x1080,~$15-25
IMX327 (Sony),CIS,10,50,0.05,low_texture,adaptive,,2.0,,24.5,,,False,1920x1080,~$15-25
AR0234 (ON Semi),CIS,10,50,0.05,low_texture,locked,,800.0,,250.0,,,False,1920x1200,~$20-40
AR0234 (ON Semi),CIS,10,50,0.05,low_texture,adaptive,,2.0,,14.0,,,False,1920x1200,~$20-40
IMX462 (Sony),CIS,10,50,0.05,low_texture,locked,,800.0,,310.0,,,False,1920x1080,~$20-30
IMX462 (Sony),CIS,10,50,0.05,low_texture,adaptive,,2.0,,16.9667,,,False,1920x1080,~$20-30
Lichtsteiner 2008,DVS,10,50,0.05,low_texture,theta=0.05,0.05,,15558.4,19.1451,19.14,0.005054,False,128x128,N/A (research)
Lichtsteiner 2008,DVS,10,50,0.05,low_texture,theta=0.10,0.1,,7779.2,19.1501,19.14,0.010108,False,128x128,N/A (research)
Lichtsteiner 2008,DVS,10,50,0.05,low_texture,theta=0.20,0.2,,3889.6,19.1602,19.14,0.020216,False,128x128,N/A (research)
Lichtsteiner 2008,DVS,10,50,0.05,low_texture,theta=0.40,0.4,,1944.8,19.1804,19.14,0.040433,False,128x128,N/A (research)
DAVIS346,DVS,10,50,0.05,low_texture,theta=0.05,0.05,,15558.4,10.0005,10.0,0.000501,False,346x260,"~$3,000 (dev kit)"
DAVIS346,DVS,10,50,0.05,low_texture,theta=0.10,0.1,,7779.2,10.001,10.0,0.001,False,346x260,"~$3,000 (dev kit)"
DAVIS346,DVS,10,50,0.05,low_texture,theta=0.20,0.2,,3889.6,10.002,10.0,0.002002,False,346x260,"~$3,000 (dev kit)"
DAVIS346,DVS,10,50,0.05,low_texture,theta=0.40,0.4,,1944.8,10.004,10.0,0.004002,False,346x260,"~$3,000 (dev kit)"
Samsung DVS-Gen3.1,DVS,10,50,0.05,low_texture,theta=0.05,0.05,,15558.4,10.0002,10.0,0.000204,False,640x480,~$100-300 (module)
Samsung DVS-Gen3.1,DVS,10,50,0.05,low_texture,theta=0.10,0.1,,7779.2,10.0004,10.0,0.000409,False,640x480,~$100-300 (module)
Samsung DVS-Gen3.1,DVS,10,50,0.05,low_texture,theta=0.20,0.2,,3889.6,10.0008,10.0,0.000817,False,640x480,~$100-300 (module)
Samsung DVS-Gen3.1,DVS,10,50,0.05,low_texture,theta=0.40,0.4,,1944.8,10.0016,10.0,0.001634,False,640x480,~$100-300 (module)
Prophesee IMX636,DVS,10,50,0.05,low_texture,theta=0.05,0.05,,15558.4,32.0001,32.0,0.000102,False,1280x720,"~$3,500 (EVK4 kit)"
Prophesee IMX636,DVS,10,50,0.05,low_texture,theta=0.10,0.1,,7779.2,32.0002,32.0,0.000204,False,1280x720,"~$3,500 (EVK4 kit)"
Prophesee IMX636,DVS,10,50,0.05,low_texture,theta=0.20,0.2,,3889.6,32.0004,32.0,0.000409,False,1280x720,"~$3,500 (EVK4 kit)"
Prophesee IMX636,DVS,10,50,0.05,low_texture,theta=0.40,0.4,,1944.8,32.0008,32.0,0.000817,False,1280x720,"~$3,500 (EVK4 kit)"
OV7251 (OmniVision),CIS,10,50,0.4,high_texture,locked,,800.0,,40.0,,,False,640x480,~$3-5
OV7251 (OmniVision),CIS,10,50,0.4,high_texture,adaptive,,2.0,,2.6333,,,False,640x480,~$3-5
IMX327 (Sony),CIS,10,50,0.4,high_texture,locked,,800.0,,300.0,,,False,1920x1080,~$15-25
IMX327 (Sony),CIS,10,50,0.4,high_texture,adaptive,,2.0,,24.5,,,False,1920x1080,~$15-25
AR0234 (ON Semi),CIS,10,50,0.4,high_texture,locked,,800.0,,250.0,,,False,1920x1200,~$20-40
AR0234 (ON Semi),CIS,10,50,0.4,high_texture,adaptive,,2.0,,14.0,,,False,1920x1200,~$20-40
IMX462 (Sony),CIS,10,50,0.4,high_texture,locked,,800.0,,310.0,,,False,1920x1080,~$20-30
IMX462 (Sony),CIS,10,50,0.4,high_texture,adaptive,,2.0,,16.9667,,,False,1920x1080,~$20-30
Lichtsteiner 2008,DVS,10,50,0.4,high_texture,theta=0.05,0.05,,62867.2,19.1604,19.14,0.020422,False,128x128,N/A (research)
Lichtsteiner 2008,DVS,10,50,0.4,high_texture,theta=0.10,0.1,,31433.6,19.1808,19.14,0.040844,False,128x128,N/A (research)
Lichtsteiner 2008,DVS,10,50,0.4,high_texture,theta=0.20,0.2,,15716.8,19.2217,19.14,0.081688,False,128x128,N/A (research)
Lichtsteiner 2008,DVS,10,50,0.4,high_texture,theta=0.40,0.4,,7858.4,19.3034,19.14,0.163377,False,128x128,N/A (research)
DAVIS346,DVS,10,50,0.4,high_texture,theta=0.05,0.05,,62867.2,10.002,10.0,0.002022,False,346x260,"~$3,000 (dev kit)"
DAVIS346,DVS,10,50,0.4,high_texture,theta=0.10,0.1,,31433.6,10.004,10.0,0.004043,False,346x260,"~$3,000 (dev kit)"
DAVIS346,DVS,10,50,0.4,high_texture,theta=0.20,0.2,,15716.8,10.0081,10.0,0.008086,False,346x260,"~$3,000 (dev kit)"
DAVIS346,DVS,10,50,0.4,high_texture,theta=0.40,0.4,,7858.4,10.0162,10.0,0.016172,False,346x260,"~$3,000 (dev kit)"
Samsung DVS-Gen3.1,DVS,10,50,0.4,high_texture,theta=0.05,0.05,,62867.2,10.0008,10.0,0.000826,False,640x480,~$100-300 (module)
Samsung DVS-Gen3.1,DVS,10,50,0.4,high_texture,theta=0.10,0.1,,31433.6,10.0017,10.0,0.00165,False,640x480,~$100-300 (module)
Samsung DVS-Gen3.1,DVS,10,50,0.4,high_texture,theta=0.20,0.2,,15716.8,10.0033,10.0,0.0033,False,640x480,~$100-300 (module)
Samsung DVS-Gen3.1,DVS,10,50,0.4,high_texture,theta=0.40,0.4,,7858.4,10.0066,10.0,0.006601,False,640x480,~$100-300 (module)
Prophesee IMX636,DVS,10,50,0.4,high_texture,theta=0.05,0.05,,62867.2,32.0004,32.0,0.000412,False,1280x720,"~$3,500 (EVK4 kit)"
Prophesee IMX636,DVS,10,50,0.4,high_texture,theta=0.10,0.1,,31433.6,32.0008,32.0,0.000826,False,1280x720,"~$3,500 (EVK4 kit)"
Prophesee IMX636,DVS,10,50,0.4,high_texture,theta=0.20,0.2,,15716.8,32.0017,32.0,0.00165,False,1280x720,"~$3,500 (EVK4 kit)"
Prophesee IMX636,DVS,10,50,0.4,high_texture,theta=0.40,0.4,,7858.4,32.0033,32.0,0.0033,False,1280x720,"~$3,500 (EVK4 kit)"
OV7251 (OmniVision),CIS,10,100,0.05,low_texture,locked,,800.0,,40.0,,,False,640x480,~$3-5
OV7251 (OmniVision),CIS,10,100,0.05,low_texture,adaptive,,1.0,,2.3167,,,False,640x480,~$3-5
IMX327 (Sony),CIS,10,100,0.05,low_texture,locked,,800.0,,300.0,,,False,1920x1080,~$15-25
IMX327 (Sony),CIS,10,100,0.05,low_texture,adaptive,,1.0,,19.75,,,False,1920x1080,~$15-25
AR0234 (ON Semi),CIS,10,100,0.05,low_texture,locked,,800.0,,250.0,,,False,1920x1200,~$20-40
AR0234 (ON Semi),CIS,10,100,0.05,low_texture,adaptive,,1.0,,12.0,,,False,1920x1200,~$20-40
IMX462 (Sony),CIS,10,100,0.05,low_texture,locked,,800.0,,310.0,,,False,1920x1080,~$20-30
IMX462 (Sony),CIS,10,100,0.05,low_texture,adaptive,,1.0,,14.4833,,,False,1920x1080,~$20-30
Lichtsteiner 2008,DVS,10,100,0.05,low_texture,theta=0.05,0.05,,24358.4,19.1479,19.14,0.007913,False,128x128,N/A (research)
