label,apply_noise,power_mW,wall_s,mota,motp,idf1,id_switches,num_gt,num_pred
Clean CIS,False,332.6,2.82,-0.09233744259124976,0.35720333977444413,0.08921490880253767,3,4137,907
Noisy CIS,True,332.6,48.11,-0.09668842156151802,0.32169116114429785,0.05136702568351284,1,4137,691
